rxcui 	 uniis 	 inchikeys 
1435520	NB21C0D33W	RJUFJBKOKNCXHH-UHFFFAOYSA-N
1307044	YX089CPS05	
1435522	C5N25H3803	NCGHIAKEJNQSMS-QLGOZJDFSA-N
1311240	N6R0856Z79	
1011627	065C5D077J	
38365	UZC80HAU42	
1648699	74I9HB1BX3	VCWSZWDBRMAJJJ-UHFFFAOYSA-N
1307040	Z3GVO2327F	
1648695	RA8VU41B1F	LRGJRHZIDJQFCL-UHFFFAOYSA-M
1489913	J7A92W69L7	QXWYKJLNLSIPIN-JGVFFNPUSA-N
1648697	5JQG17B06J	
1648696	8C1M5O3ECT	JBTHDAVBDKKSRW-FMQUCBEESA-N
1648691	N13VBQ9EOY	
1648690	1WYM0QWX33	
1867700	085WB9L09N	
1648692	N6B142V0U0	JRSBQVOEILNXGS-UHFFFAOYSA-N
1426914	6M8B654MEQ	
1426915	ADK3G923Z3	
1426916	2PYI6D7HCQ	
283792	PJP312605E	
1426910	309GSC92U1	
1426911	YF0S03R447	
1426912	W4X7H8GYFM	
1426913	6EQL0XA86G	
1651320	K37IH01KN1	
1426918	49ZMN09Q0K	
91217	SN86FG7N2K	CPIWHAFLBZQYLQ-UHFFFAOYSA-N
1862681	09058VOU0Z	UQPHVQVXLPRNCX-GSVOUGTGSA-N
704942	4T4453CLX7	
114052	73R90F7MQ8	ORNBQBCIOKFOEO-QGVNFLHTSA-N
1313719	E2KR9C9V2I	
1313718	H7AGY1OJO8	
1426649	EOD3UE785A	
1426644	7GXZ3858RY	WQXNXVUDBPYKBA-YFKPBYRVSA-N
35215	422L8173W8	ODYKCPYPRCJXLY-PZORDLPLSA-N
1426646	EU2PSP0G0W	
1313710	V9BQI51YUL	
1313716	L8Q0US0J7V	KPQJOKRSYYJJEL-VLQRKCJKSA-K
1364991	612YOZ36DG	
1364990	EA3289138M	
1865700	4PTH680I21	
1865702	7NPF74465O	
1307049	Y5P61KP51E	
1799153	928F6H6S1K	
1799152	S3QI0ZXT5X	LINXHFKHZLOLEI-UHFFFAOYSA-N
1799151	XR42W0H5IU	
69722	L6O3XI777I	ARAIBEBZBOPLMB-UFGQHTETSA-N
1307679	KX8NF172FG	
1307678	WCD45M1BSK	
253158	WBZ6M63TEE	XSQUKJJJFZCRTK-NJFSPNSNSA-N
253156	4H7L9AI22I	QHQJZIXSVLFOHD-LYRZEVDOSA-N
1307674	CJA97047JF	
1307677	EA541308MV	
253155	5FD1131I7S	SRMPHJKQVUDLQE-KUJJYQHYSA-N
1307671	3G75L8C3RU	
1307670	FU6582QMPV	
1307673	FS7G8S6PJ8	
1307672	1T4G158Z90	
1535214	FIG89N8AZY	QEMMFDPTLWDHKP-HNCPQSOCSA-N
1300447	39J80LT57T	
1535216	99TAQ2QWJI	
1535217	2YFC543249	
1300446	9H4L916OBU	
1535218	T4H8FMA7IM	
1591950	3SXM338GIQ	
25734	1664P6E6MI	SIGSPDASOTUPFS-XUDSTZEESA-N
1797646	6Z20YM9257	MGJURKDLIJVDEO-UHFFFAOYSA-N
1307639	2FN3BA1MZE	
1314236	8471AK50P8	
1248798	JX56W9N61Q	
1248797	44STI720CW	
1440051	74O62BB01U	
1546869	2004Q810JO	
1804257	KTM00873VC	
1663736	2CNS542YRT	
6779	5XE4NWM740	
6774	5X1IO031V8	
1546863	84183U1G10	
1546862	17A930VR0G	
27392	6I819NIK1W	ZNRGQMMCGHDTEI-ITGUQSILSA-N
1546864	CZP7EPR012	
1546867	676S281WTB	
1546866	U65RN3L8Q5	
1373038	R1H893D80E	
1373039	82X32CRA5U	
1314240	VC9M78242P	
1366849	5856J3G2A2	
56455	OJ245FE5EU	WXMKPNITSTVMEF-UHFFFAOYSA-M
1373032	623IWX4U2M	
9968	P86KHA8V3K	
1366842	5798KA13PG	
1366841	1D276TYV9O	
1373037	6KGS8SP16U	
104485	X7D10K905G	
104486	GF99P6327K	FUWFSXZKBMCSKF-ZASNTINBSA-N
1872988	WQ0UW3VFG5	
1309722	9M289NKI69	
150596	P484053J2Y	ORTQZVOHEJQUHG-UHFFFAOYSA-L
1314927	V174354MDI	
16728	4RZ82L2GY5	RRUDCFGSUDOHDG-UHFFFAOYSA-N
