rxcui 	 drugbank ids with divided |
9601	DB00747
10179	DB00576
9603	DB00747
57330	DB07615
203162	DB13092
1005920	DB08867
1005921	DB08867
5281	DB04703
10171	DB00359
10172	DB06150
10173	DB01299
10175	DB00664
52769	DB00235
21246	DB13158
21247	DB09004
21245	DB01013
7233	DB00607
10378	DB00894
81944	DB00787
81948	DB06723
39801	DB13781
27946	DB06706
7238	DB00844
21249	DB00838
99	DB00513
1363030	DB02774
853491	DB06168
1539968	DB05869
36567	DB00641
38377	DB09216
10561	DB09205
38574	DB02650
1808	DB00887
41208	DB00596
42955	DB00583
236599	DB00768
236595	DB13141
9518	DB08797
1300479	DB00992
14851	DB01080
155017	DB01176
33739	DB09286
18889	DB00892
1368168	DB13038
18880	DB09022
1362906	DB12519
1368533	DB11296
42405	DB00075
49428	DB13421
38617	DB00505
203130	DB00540
203133	DB01053
203132	DB01113
9771	DB11132
203134	DB00319
203137	DB01037
102745	DB01605
7301	DB11589
1367187	DB00162
3251	DB00035
21406	DB09270
3254	DB01260
3255	DB00547
236888	DB12230
1433211	DB08918
36108	DB01399
1433212	DB08918
236829	DB01102
1435864	DB12969
1311397	DB01880
237082	DB00953
1399	DB01086
1523	DB00217
1102129	DB08873
10207	DB00263
5463	DB08818
10205	DB01138
203220	DB00443
1427224	DB09149
3339	DB00527
1745257	DB00076
1427222	DB05829
1700	DB11326
1300476	DB01172
301739	DB00106
1546272	DB06757
1310551	DB03193
1368871	DB03462
1546279	DB02600
1390	DB11125
1546401	DB12546
1363564	DB09087
142436	DB00813
142437	DB01148
142434	DB01127
142435	DB00330
142432	DB00575
142430	DB00283
1314416	DB09571
83153	DB01133
6984	DB00350
142439	DB00956
1546019	DB01254
974779	DB08935
1368877	DB02255
1546014	DB00399
1546015	DB06213
36344	DB11127
19959	DB09488
3024	DB00151
3022	DB00847
525	DB01431
91188	DB00645
91189	DB09085
83719	DB00365
71767	DB01616
8737	DB00172
34323	DB01345
89959	DB00144
23663	DB00254
262323	DB00078
31555	DB04861
8047	DB01186
8048	DB01186
1091836	DB01656
72260	DB00790
1310171	DB12091
49247	DB00204
66955	DB00512
11002	DB03904
37317	DB13416
38386	DB02383
38382	DB09245
614391	DB01281
91588	DB09316
302285	DB00872
435	DB01001
430	DB00518
1370111	DB00166
616739	DB05271
1312397	DB08896
8462	DB09094
8463	DB01179
1297879	DB01415
1297878	DB01140
283753	DB00556
196239	DB00293
1807514	DB09499
5321	DB11254
1420982	DB04827
8196	DB12944
1425	DB09084
1366667	DB04161
8354	DB12492
221183	DB00425
55018	DB09414
55019	DB09413
1726987	DB06206
133054	DB00878
24591	DB13866
4118	DB00189
28889	DB00455
132889	DB06707
352372	DB06701
155075	DB00277
1311506	DB13089
19338	DB13746
57227	DB00662
32613	DB00991
28863	DB04948
1364532	DB04160
816346	DB05351
1366924	DB01990|DB04540
22537	DB01134
337068	DB00992
52918	DB12251
1659192	DB09143
4778	DB00406
51428	DB01306
6758	DB00849
4177	DB00292
4170	DB00823
4171	DB08987
720825	DB06207
227212	DB01210
662281	DB04868
6756	DB01365
4179	DB00773
6754	DB00454
1424174	DB08913
221054	DB09335
863035	DB04890
9947	DB00489
19759	DB01237
9945	DB01638
56476	DB13180
221058	DB00415
17618	DB01370
57789	DB00693
52358	DB13749
52356	DB11110
66896	DB09313
135091	DB11675
1426280	DB03088
42836	DB11145
22759	DB11994
349753	DB09449
82005	DB01081
1426447	DB00163
1875534	DB11945
1544460	DB09054
7674	DB12930
4617	DB02530
641465	DB06413
1306127	DB00171
235749	DB00452
46243	DB01375
46049	DB00088
1306121	DB06150
235743	DB00331
475969	DB06414
42545	DB09093
235745	DB01621
77655	DB00399
5924	DB00638
10834	DB00726
155323	DB00959
5928	DB08948
21877	DB09000
21655	DB01380
1368451	DB08909
52172	DB01188
20877	DB11121
20875	DB01243
52177	DB00873
52175	DB00678
4507	DB04842
1314351	DB13155
4501	DB00690
4500	DB00846
1543543	DB05015
4502	DB00712
7821	DB00595
236690	DB00952
4508	DB00499
7824	DB00107
61805	DB00348
22396	DB11921
57257	DB09091
57258	DB00697
56092	DB00462
190376	DB00601
17767	DB00381
20769	DB07565
1244607	DB08819
8985	DB11156
21272	DB00453
8987	DB00339
7222	DB00157
306674	DB00862
68139	DB00728
7226	DB01203
10691	DB00302
1427083	DB02779
81953	DB00415
89918	DB00125
1441546	DB06728
27518	DB12545
279951	DB08439
2406	DB01239
4980	DB09121
2404	DB00672
587318	DB03085
2403	DB00477
2400	DB01114
55175	DB12278
578285	DB12647
134547	DB06769
2408	DB09093
2409	DB00310
1925805	DB00140
10524	DB00156
679314	DB01267
58964	DB00708
14845	DB00964
33724	DB09090
1734630	DB11575
38609	DB11155
83947	DB00799
8871	DB12667
3248	DB01078
736680	DB04855
7315	DB01400
7316	DB01400
3247	DB01151
1367190	DB02045
141704	DB01590
36118	DB00017
1599538	DB09075
236673	DB12251
236859	DB00783
36117	DB00938
1311380	DB00038
1311381	DB11558
1306099	DB11164
1311387	DB12029
26849	DB03808
237099	DB00163
1116632	DB08816
203210	DB00457
203211	DB00343
1546399	DB01339
203213	DB00445
10237	DB00605
5499	DB11091
203217	DB00007
5495	DB00774
10239	DB00391
1546396	DB09080
5492	DB00741
132871	DB00511
1712	DB00083
9386	DB00478
2410	DB00356
132879	DB06805
1871173	DB11575
49255	DB11594
613	DB13390
1371967	DB00974
1360720	DB11235
1546025	DB01044
142424	DB00594
1546027	DB00442
83366	DB01076
1546021	DB00671
1546022	DB00722
487070	DB01141
1546029	DB00760
1546028	DB01033
18343	DB06697
11124	DB00512
18346	DB09274
1012892	DB08868
2418	DB00169
14448	DB06704
1360721	DB11235
7781	DB00842
91428	DB00655|DB04574
325642	DB00303
325646	DB09026
6377	DB06793
519	DB00437
1311542	DB00129
29439	DB00253
1364104	DB06663
1314242	DB01351
183379	DB00989
1311548	DB08847
8723	DB01123
8724	DB01123
8727	DB00396
1227	DB00995
621	DB00915
620	DB00915
1223	DB00572
626	DB01163
625	DB06742
624	DB01122
4182	DB00926
28382	DB09236
4186	DB09086
6536	DB00123
6537	DB00123
1427223	DB09546
27729	DB01249
8299	DB00981
40450	DB11364
6538	DB00123
5784	DB08950
1148495	DB08865
1484911	DB08934
31494	DB08804
31495	DB00984
103755	DB00454
203114	DB01118
1012891	DB08868
1426941	DB04445
29652	DB06799
73107	DB00922
1372539	DB02377
1148138	DB06196
32863	DB11190
55063	DB00860
1435522	DB00736
3304	DB01452
8183	DB00252
56443	DB09395
1540824	DB09042
7762	DB01092
1100071	DB05812
1100072	DB05812
1666923	DB00642
155060	DB03088
1298965	DB01223
276237	DB00879
60307	DB00494
22298	DB00298
22299	DB00080
73032	DB00899
1364529	DB03896
26296	DB00226
22293	DB04816
1426451	DB01759
4166	DB01466
11248	DB00115
