unii 	 drugbank_id 
H0DE420U8G	DB00356
0O54ZQ14I9	DB00357
TML814419R	DB00358
5Y9L3636O3	DB00358
0N7609K889	DB00359
84CS1P306F	DB00359
EGX657432I	DB00360
RG277LF5B3	DB00360
Q6C979R91Y	DB00361
253GQW851Q	DB00361
9HLM53094I	DB00362
J60AR2IKIC	DB00363
80862U56A3	DB00363
XX73205DH5	DB00364
L1M1U2HC31	DB00365
A4ER1Z8N9N	DB00365
95QB77JKPL	DB00366
V9BI9B5YI2	DB00366
5W7SIA7YZW	DB00367
X4W3ENH1CV	DB00368
IFY5PE3ZRW	DB00368
768M1V522C	DB00369
JIL713Q00N	DB00369
A051Q2099Q	DB00370
42CIX4573G	DB00370
9I7LNY769Q	DB00371
8ETK1WAF6R	DB00372
HP46XK89XB	DB00372
RUK64CF26E	DB00372
5JKY92S7BR	DB00373
817W3C6175	DB00373
P8Y54F701R	DB00373
RUM6K67ESG	DB00374
H1FKG90039	DB00374
7JZ75N2NT6	DB00374
K50N755924	DB00375
X7D10K905G	DB00375
6RC5V8B7PO	DB00376
AO61G82577	DB00376
29WVV1OJ05	DB00377
23310D4I19	DB00377
90I02KLE8K	DB00378
1U511HHV4Z	DB00379
606D60IS38	DB00379
048L81261F	DB00380
5346058Q7S	DB00380
1J444QC288	DB00381
864V2Q084H	DB00381
CQ27G2BZJM	DB00381
291Y33EZHA	DB00381
4VX7YNB537	DB00382
4966RNG0BU	DB00382
4V44H1O8XI	DB00383
GWO1432WOU	DB00383
WS821Z52LQ	DB00384
2C6NUM6878	DB00385
C6QE1Q1TKR	DB00387
CQC932Z7YW	DB00387
1WS297W6MV	DB00388
27O3Q5ML57	DB00388
04JA59TNSJ	DB00388
DU5ATO7HYP	DB00388
8KQ660G60G	DB00389
73K4184T59	DB00390
7MNE9M8287	DB00391
7WI4P02YN1	DB00392
O00T1I1VRN	DB00392
57WA9QZ5WH	DB00393
KGZ1SLC28Z	DB00394
4H7L9AI22I	DB00394
21925K482H	DB00395
4G7DS2Q64Y	DB00396
33RU150WUN	DB00397
8D5I63UE1Q	DB00397
9ZOQ3TZI87	DB00398
5T62Q3B36J	DB00398
70HZ18PH24	DB00399
7D7GS1SA24	DB00399
ARL915IH66	DB00399
6XC1PAD3KF	DB00399
32HRV3E3D5	DB00400
4I8HAB65SZ	DB00401
UZX80K71OE	DB00402
888Y08971B	DB00403
4E1MIA8QQL	DB00403
YU55MQ3IZY	DB00404
75T64B71RP	DB00405
BPA9UT29BS	DB00405
3GVJ31T6YY	DB00406
J4Z741D6O5	DB00406
VL0L558GCB	DB00407
LER583670J	DB00408
376MYL4MAL	DB00408
X59SG0MRYU	DB00408
0223RD59PE	DB00409
MH4OU8RWCW	DB00409
D0GX863OA5	DB00410
RG38I2P540	DB00410
8Y164V895Y	DB00411
05V02F2KDG	DB00412
KX2339DP44	DB00412
83619PEU5T	DB00413
3D867NP06J	DB00413
4R2HD0M28N	DB00413
QGC8W08I6I	DB00414
7C782967RD	DB00415
JFN36L5S8K	DB00415
HXQ6A1N7R6	DB00415
O0U0E87X7F	DB00416
Z61I075U2W	DB00417
3T4EMH59ZU	DB00417
146T0TU1JB	DB00417
1P7H87IN75	DB00418
XBP604F6UM	DB00418
ADN3S497AZ	DB00419
O9M39HTM5W	DB00420
U16EOR79U4	DB00420
27O7W4T232	DB00421
207ZZ9QZ49	DB00422
4B3SC438HI	DB00422
125OD7737X	DB00423
PX44XO846X	DB00424
IWT50P9S79	DB00424
OB570Z127K	DB00424
F2R8V82B84	DB00424
7K383OQI23	DB00425
WY6W63843K	DB00425
QIC03ANI02	DB00426
2L8T9S52QM	DB00427
NG7A104R3J	DB00427
YAN7R5L890	DB00427
8H27GUR065	DB00428
U4526F86FJ	DB00429
P936YA152N	DB00430
137KB7GYKB	DB00430
59NEE7PCAB	DB00431
RMW9V5RW38	DB00432
YHP6YLT61T	DB00433
PG20W5VQZS	DB00433
I1T8O1JTL6	DB00433
2YHB6175DO	DB00434
NJ82J0F8QC	DB00434
31C4KY9ESH	DB00435
5Q52X6ICJI	DB00436
63CZ7GJN5I	DB00437
428673RC2Z	DB00437
DZR1ENT301	DB00438
9M416Z9QNR	DB00438
CMC30V039K	DB00438
AM91H2KS67	DB00439
6Q18G1060S	DB00439
AN164J8Y0X	DB00440
9XE000OU9B	DB00440
E377MF8EQ8	DB00440
B76N6SBZ8R	DB00441
U347PV74IL	DB00441
NNU2O4609D	DB00442
5968Y6H45M	DB00442
9842X06Q6M	DB00443
TI05AO53L7	DB00443
877K0XW47A	DB00443
YJO1F9W10R	DB00443
826Y60901U	DB00443
7BK02SCL3W	DB00443
9IFA5XM7R2	DB00443
957E6438QA	DB00444
3Z8479ZZ5X	DB00445
22966TX7J5	DB00445
66974FR9Q1	DB00446
43VU4207NW	DB00446
872109HX6B	DB00446
W72I5ZT78Z	DB00447
3X11EVM5SU	DB00447
0K5C5T2QPG	DB00448
8Q1PVL543G	DB00449
5QTH9UHV0K	DB00449
O9U0F09D5X	DB00450
Q51BO43MG4	DB00451
054I36CPMN	DB00451
4BOC774388	DB00452
Y3720KZ4TQ	DB00452
YP0241BU76	DB00453
9E338QE28F	DB00454
N8E7F7Q170	DB00454
7AJO3BO7QN	DB00455
R72LW146E6	DB00456
C22G6EYP8B	DB00456
XM03YJ541D	DB00457
X0Z7454B90	DB00457
OGG85SX4E4	DB00458
BKE5Q1J60U	DB00458
MC34P30298	DB00458
LCH760E9T7	DB00459
0X9PA28K43	DB00460
LW0TIW155Z	DB00461
RTN51LK7WL	DB00462
02OS7K758T	DB00463
Q1SUG5KBD6	DB00464
YZI5105V0L	DB00465
4EVE5946BQ	DB00465
ZLT174DL7U	DB00466
325OGW249P	DB00467
A7V27PHC7A	DB00468
L8D5LFU229	DB00468
711S8Y0T33	DB00468
0E9UD56A3I	DB00468
KF7Z0E0Q2B	DB00468
Z1R9N0A399	DB00469
7J8897W37S	DB00470
MHM278SD3E	DB00471
U1O3J18SFL	DB00471
01K63SUP8D	DB00472
I9W7N6B1KJ	DB00472
511IU0826Z	DB00473
V00NQ7SDYI	DB00473
E5B8ND5IPE	DB00474
60200PNZ7Q	DB00474
6RZ6XEZ3CR	DB00475
MFM6K1XWDK	DB00475
O5TNM5N07U	DB00476
9044SC542W	DB00476
U42B7VYA4P	DB00477
9WP59609J6	DB00477
0T2EF4JQTU	DB00478
JEI07OOS8Y	DB00478
84319SGC3C	DB00479
N6M33094FD	DB00479
F0P408N6V4	DB00480
YX9162EO3I	DB00481
4F86W47BR6	DB00481
JCX84Q7J1L	DB00482
Q3254X40X2	DB00483
E6GNX3HHTE	DB00484
4S9CL2DY2H	DB00484
COF19H7WBK	DB00485
4CKS6MOL6Z	DB00485
2N4O9L084N	DB00486
2H52Z9F2Q5	DB00487
5IAD0UV3FH	DB00487
CX28QC6FU0	DB00487
Q8BIH59O7H	DB00488
