flat_chemical_id	stereo_chemical_id	source_cid	inchikey
CIDm09930048	CIDs11639642	11639643	VBHQKCBVWWUUKN-DTLAAXRXSA-N
CIDm00068613	CIDs11650973	11650973	VWXRQYYUEIYXCZ-QYUOUNJVSA-N
CIDm11234049	CIDs11653580	11653580	XFALPSLJIHVRKE-UHFFFAOYSA-N
CIDm09800339	CIDs09800339	11654738	KCEHVJZZIGJAAW-UHFFFAOYSA-N
CIDm10465263	CIDs11658859	11658859	NBENLXSMFWRJRU-JZGIKJSDSA-N
CIDm10465263	CIDs11658859	11658860	XTTZERNUQAFMOF-QMMMGPOBSA-N
CIDm00105145	CIDs11665394	11665394	GYHNNYVSQQEPJS-VENIDDJXSA-N
CIDm00132970	CIDs09821849	11670322	RYDNJCCIJRGQHT-AXUALZGKSA-N
CIDm11672461	CIDs11672461	11672461	XGOSYNSWSRUASG-SSMZTGFVSA-H
CIDm05479141	CIDs11672602	11672602	JMUHBNWAORSSBD-WKYWBUFDSA-N
CIDm10465263	CIDs11658859	11673085	ITIHHRMYZPNGRC-QRPNPIFTSA-N
CIDm00003636	CIDs11679028	11679028	YBCNXCRZPWQOBR-UXVFMDBASA-N
CIDm09930048	CIDs11681809	11681809	VBHQKCBVWWUUKN-UKKPGEIXSA-N
CIDm00004048	CIDs00011683	11683	RQZAXGRLVPAYTJ-GQFGMJRRSA-N
CIDm09930048	CIDs11689599	11689599	JMHYCBFEEFHTMK-PGBDLSIMSA-N
CIDm09930048	CIDs11689599	11689600	VBHQKCBVWWUUKN-QFBMPPABSA-N
CIDm09800339	CIDs11504294	11691887	FMWWNJSUPDXUHI-FERBBOLQSA-N
CIDm00032281	CIDs00638678	11699159	KPUAAIHTPMAPLR-ZIXUZTORSA-N
CIDm09930048	CIDs11703033	11703033	VBHQKCBVWWUUKN-FQECFTEESA-N
CIDm09800339	CIDs11504294	11711522	KCEHVJZZIGJAAW-FERBBOLQSA-N
CIDm00034058	CIDs00034058	11714073	KIVPSHLTIGWEDT-UHFFFAOYSA-H
CIDm00027400	CIDs00027400	11718531	GGYSHFFKUHGBIK-BTJKTKAUSA-N
CIDm11722286	CIDs11722286	11722286	JFLRKDZMHNBDQS-RKDXIGJHSA-N
CIDm00027993	CIDs11725316	11725316	YJBYRYVLFAUXBJ-CMTKHDEESA-N
CIDm00003053	CIDs00003053	11730839	BPLDGPXXEBIHGN-UHFFFAOYSA-I
CIDm06477186	CIDs11756905	11756905	XDAOLTSRNUSPPH-UHFFFAOYSA-N
CIDm00003734	CIDs11765719	11765719	XQZXYNRDCRIARQ-NTHIHFMSSA-N
CIDm00023951	CIDs10145316	11767160	HUMOEYPEOGEJCL-UHFFFAOYSA-N
CIDm09930048	CIDs11473540	11773573	JMHYCBFEEFHTMK-PWGAQZMISA-N
CIDm00060172	CIDs11778134	11778134	SUPKOOSCJHTBAH-DOMIDYPGSA-N
CIDm00003783	CIDs11779629	11779629	BMUKKTUHUDJSNZ-HBUWYVDXSA-N
CIDm00005939	CIDs00005939	11788856	MIWVBVPUEOHJFV-UHFFFAOYSA-N
CIDm00004048	CIDs11862191	11862191	RQZAXGRLVPAYTJ-CYDYFGPOSA-N
CIDm00004101	CIDs00004101	118640	UAMIYHCXAONPMG-UHFFFAOYSA-N
CIDm00222786	CIDs11865414	11865414	MFYSYFVPBJMHGN-GFKWAKDYSA-N
CIDm00222786	CIDs11865415	11865415	MFYSYFVPBJMHGN-YUEHCAIXSA-N
CIDm00222786	CIDs11865416	11865416	MFYSYFVPBJMHGN-IGQFXSRTSA-N
CIDm00009904	CIDs11865439	11865439	NPAGDVCDWIYMMC-NXBFSHDWSA-N
CIDm00009904	CIDs11865440	11865440	NPAGDVCDWIYMMC-PXOUGSPUSA-N
CIDm00009904	CIDs11865441	11865441	NPAGDVCDWIYMMC-IYYNEKPFSA-N
CIDm00009904	CIDs11865442	11865442	NPAGDVCDWIYMMC-ZMSHIADSSA-N
CIDm00004895	CIDs11865454	11865454	LRJOMUJRLNCICJ-BJJNNOASSA-N
CIDm00004895	CIDs11865455	11865455	LRJOMUJRLNCICJ-WXLIAARGSA-N
CIDm00004895	CIDs11865456	11865456	LRJOMUJRLNCICJ-PITBNBMLSA-N
CIDm00004895	CIDs11865457	11865457	LRJOMUJRLNCICJ-GPVMAXDSSA-N
CIDm00016533	CIDs11869687	11869687	SNHRLVCMMWUAJD-NKIFVFFGSA-N
CIDm00016533	CIDs11869688	11869688	SNHRLVCMMWUAJD-XTMNHKIDSA-N
CIDm00005877	CIDs11869689	11869689	PLBHSZGDDKCEHR-QWRVLHCVSA-N
