chemical	alias	source
CIDm00041744	CIDs00041744	DrugBank	DB00385
CIDm00004919	CIDs00004919	DrugBank	DB00387
CIDm00004782	CIDs00006041	DrugBank	DB00388
CIDm00031072	CIDs00031072	DrugBank	DB00389
CIDm00003062	CIDs02724385	DrugBank	DB00390
CIDm00005355	CIDs00005355	DrugBank	DB00391
CIDm00003290	CIDs00003290	DrugBank	DB00392
CIDm00004497	CIDs00004497	DrugBank	DB00393
CIDm00002307	CIDs00021700	DrugBank	DB00394
CIDm00002576	CIDs00002576	DrugBank	DB00395
CIDm00004920	CIDs00005994	DrugBank	DB00396
CIDm00004786	CIDs00026934	DrugBank	DB00397
CIDm00216239	CIDs00216239	DrugBank	DB00398
CIDm00068740	CIDs00068740	DrugBank	DB00399
CIDm00003512	CIDs00441140	DrugBank	DB00400
CIDm00004499	CIDs00004499	DrugBank	DB00401
CIDm00005735	CIDs00969472	DrugBank	DB00402
CIDm16129675	CIDs16129675	DrugBank	DB00403
CIDm00002118	CIDs00002118	DrugBank	DB00404
CIDm00006834	CIDs00016960	DrugBank	DB00405
CIDm00003468	CIDs00003468	DrugBank	DB00406
CIDm00000772	CIDs00000772	DrugBank	DB00407
CIDm00003964	CIDs00003964	DrugBank	DB00408
CIDm00051767	CIDs00054477	DrugBank	DB00409
CIDm00004264	CIDs00446596	DrugBank	DB00410
CIDm00002551	CIDs00002551	DrugBank	DB00411
CIDm00077998	CIDs00077998	DrugBank	DB00412
CIDm00004885	CIDs00119569	DrugBank	DB00413
CIDm00001989	CIDs00001989	DrugBank	DB00414
CIDm00002173	CIDs00006249	DrugBank	DB00415
CIDm00014954	CIDs00021233	DrugBank	DB00416
CIDm00004730	CIDs00006869	DrugBank	DB00417
CIDm00005193	CIDs00005193	DrugBank	DB00418
CIDm00051634	CIDs00051634	DrugBank	DB00419
CIDm00004926	CIDs00004926	DrugBank	DB00420
CIDm00005267	CIDs00005833	DrugBank	DB00421
CIDm00004158	CIDs00004158	DrugBank	DB00422
CIDm00004107	CIDs00004107	DrugBank	DB00423
CIDm00003661	CIDs00154417	DrugBank	DB00424
CIDm00005732	CIDs00005732	DrugBank	DB00425
CIDm00003324	CIDs00003324	DrugBank	DB00426
CIDm00005588	CIDs05282442	DrugBank	DB00427
CIDm00005300	CIDs00029327	DrugBank	DB00428
CIDm05281074	CIDs45266502	DrugBank	DB00429
CIDm00002642	CIDs00636405	DrugBank	DB00430
CIDm00000727	CIDs00000727	DrugBank	DB00431
CIDm00006256	CIDs00006256	DrugBank	DB00432
CIDm00004917	CIDs00004917	DrugBank	DB00433
CIDm00002913	CIDs00002913	DrugBank	DB00434
CIDm00145068	CIDs00145068	DrugBank	DB00435
CIDm00002315	CIDs00002315	DrugBank	DB00436
CIDm00002094	CIDs00002094	DrugBank	DB00437
CIDm00002650	CIDs05481173	DrugBank	DB00438
CIDm00002676	CIDs00446156	DrugBank	DB00439
CIDm00005578	CIDs00005578	DrugBank	DB00440
CIDm00003461	CIDs00060749	DrugBank	DB00441
CIDm00153941	CIDs00153941	DrugBank	DB00442
CIDm00003003	CIDs00009782	DrugBank	DB00443
CIDm00005396	CIDs00034698	DrugBank	DB00444
CIDm00001690	CIDs00041867	DrugBank	DB00445
CIDm00000298	CIDs00005959	DrugBank	DB00446
CIDm00003956	CIDs05284584	DrugBank	DB00447
CIDm00003883	CIDs00003883	DrugBank	DB00448
CIDm00003105	CIDs00003105	DrugBank	DB00449
CIDm00003168	CIDs00003168	DrugBank	DB00450
CIDm00000853	CIDs00005819	DrugBank	DB00451
CIDm00004454	CIDs00008378	DrugBank	DB00452
CIDm54680675	CIDs54680675	DrugBank	DB00453
CIDm00004058	CIDs00004058	DrugBank	DB00454
CIDm00003957	CIDs00003957	DrugBank	DB00455
CIDm00002612	CIDs00006024	DrugBank	DB00456
CIDm00004893	CIDs00004893	DrugBank	DB00457
CIDm00003696	CIDs00003696	DrugBank	DB00458
CIDm00041317	CIDs05284513	DrugBank	DB00459
CIDm05362420	CIDs05362420	DrugBank	DB00460
CIDm00004409	CIDs00004409	DrugBank	DB00461
CIDm00004120	CIDs23724781	DrugBank	DB00462
CIDm00004099	CIDs00004099	DrugBank	DB00463
CIDm00005248	CIDs00005248	DrugBank	DB00464
CIDm00003826	CIDs00003826	DrugBank	DB00465
CIDm00031304	CIDs00031304	DrugBank	DB00466
CIDm00003229	CIDs00003229	DrugBank	DB00467
CIDm00001065	CIDs00091429	DrugBank	DB00468
CIDm51508717	CIDs51508717	DrugBank	DB00469
CIDm00002978	CIDs00016078	DrugBank	DB00470
CIDm00004248	CIDs05281040	DrugBank	DB00471
CIDm00003386	CIDs00003386	DrugBank	DB00472
CIDm00010770	CIDs00010770	DrugBank	DB00473
CIDm00009034	CIDs00009034	DrugBank	DB00474
CIDm00060834	CIDs00060834	DrugBank	DB00476
CIDm00002726	CIDs00002726	DrugBank	DB00477
CIDm00005071	CIDs00005071	DrugBank	DB00478
CIDm00002142	CIDs00037768	DrugBank	DB00479
CIDm00216326	CIDs00216326	DrugBank	DB00480
CIDm00005035	CIDs00005035	DrugBank	DB00481
CIDm00002662	CIDs00002662	DrugBank	DB00482
CIDm00003450	CIDs00003450	DrugBank	DB00483
CIDm00002435	CIDs00002435	DrugBank	DB00484
CIDm00003040	CIDs00018381	DrugBank	DB00485
CIDm00039860	CIDs05284592	DrugBank	DB00486
CIDm00051081	CIDs00051081	DrugBank	DB00487
CIDm00002123	CIDs00002123	DrugBank	DB00488
CIDm00005253	CIDs00005253	DrugBank	DB00489
CIDm00002477	CIDs00002477	DrugBank	DB00490
CIDm00051577	CIDs00441314	DrugBank	DB00491
CIDm00003419	CIDs00055891	DrugBank	DB00492
CIDm00002631	CIDs05742673	DrugBank	DB00493
CIDm04659568	CIDs05281081	DrugBank	DB00494
CIDm00005726	CIDs00035370	DrugBank	DB00495
CIDm00072054	CIDs00444030	DrugBank	DB00496
CIDm00004635	CIDs05284603	DrugBank	DB00497
CIDm00004760	CIDs00004760	DrugBank	DB00498
CIDm00003397	CIDs00003397	DrugBank	DB00499
CIDm00005508	CIDs00005508	DrugBank	DB00500
CIDm00002756	CIDs00002756	DrugBank	DB00501
CIDm00003559	CIDs00003559	DrugBank	DB00502
CIDm00005076	CIDs00392622	DrugBank	DB00503
CIDm00003912	CIDs05359371	DrugBank	DB00504
CIDm00020298	CIDs00020298	DrugBank	DB00505
CIDm00004542	CIDs00013109	DrugBank	DB00506
CIDm00041684	CIDs00041684	DrugBank	DB00507
CIDm00005568	CIDs00005568	DrugBank	DB00508
CIDm00000853	CIDs00008730	DrugBank	DB00509
CIDm00003121	CIDs00003121	DrugBank	DB00510
CIDm00001997	CIDs05284512	DrugBank	DB00511
CIDm00005651	CIDs00014969	DrugBank	DB00512
CIDm00000564	CIDs00000564	DrugBank	DB00513
CIDm00003008	CIDs05362449	DrugBank	DB00514
CIDm00002767	CIDs00002767	DrugBank	DB00515
CIDm00517273	CIDs00517273	DrugBank	DB00516
CIDm00004157	CIDs00004157	DrugBank	DB00517
CIDm00002082	CIDs00002082	DrugBank	DB00518
CIDm00005525	CIDs05484727	DrugBank	DB00519
CIDm00123623	CIDs03035406	DrugBank	DB00520
CIDm00002583	CIDs00002583	DrugBank	DB00521
CIDm00002329	CIDs06957672	DrugBank	DB00522
CIDm00005538	CIDs00449171	DrugBank	DB00523
CIDm00004170	CIDs00004170	DrugBank	DB00524
CIDm00005510	CIDs00005510	DrugBank	DB00525
CIDm00004609	CIDs00043805	DrugBank	DB00526
CIDm00003025	CIDs00003025	DrugBank	DB00527
