rxnorm_cui 	 drugbank_ids with | as seperator  
10179	DB00576
703	DB01118
44151	DB00631
338817	DB00103
84857	DB01217
3322	DB00829
619693	DB06614
36345	DB00971
19079	DB00895
6835	DB00763
83816	DB00705
27291	DB00840
33767	DB01291
10379	DB00624
45938	DB08925
692863	DB09537
1367839	DB05528
460132	DB01264
734064	DB06700
40001	DB01198
6904	DB06710
20610	DB00341
7824	DB00107
59094	DB08999
31447	DB00486
352374	DB00055
8010	DB05630
7145	DB01024
8686	DB00750
392509	DB00090
4917	DB00727
3251	DB00035
1242127	DB08898
59839	DB00299
6883	DB00353
1591922	DB09027
253453	DB00022
11170	DB00661
183875	DB08968
83947	DB00799
10188	DB00891
61805	DB00348
8347	DB00236
8723	DB01123
1422	DB00865
1227	DB00995
83213	DB01388
8718	DB00387
21216	DB00766
11204	DB00309
259453	DB01002
5333	DB05381
10176	DB01581
993449	DB06643
629565	DB01272
258326	DB01323
4556	DB00452
8113	DB03783
6816	DB01577
9346	DB00140
52364	DB01397
68446	DB00642
24608	DB08984
10561	DB09205
197	DB06151
475968	DB06655
1169	DB00128
37771	DB01405
68244	DB00709
23437	DB00954
1433868	DB08930
19295	DB04794
3403	DB01396
10171	DB00359
10323	DB09511
90176	DB01592
41493	DB00814
594	DB13160
18997	DB01878
81971	DB09015
28656	DB00666
3706	DB00378
6054	DB01064
1369	DB00436
401713	DB06775
52582	DB00244
29151	DB08938
802624	DB08884
103	DB01033
2034	DB09157
9260	DB00206
4177	DB00292
358257	DB06212
11636	DB01395
1202	DB00335
10829	DB00440
847728	DB06708
1598641	DB09047
77492	DB00706
7394	DB04820
6218	DB00581
8372	DB01604
10402	DB00470
6370	DB00504
10600	DB00373
220982	DB01392
2597	DB01242
279950	DB08439
725	DB00182
722	DB00543
632	DB00305
1100072	DB05812
613391	DB06209
4021	DB01253
194279	DB00110
83008	DB01128
7476	DB00325
5084	DB06786
42463	DB00175
5224	DB01109
1487514	DB09076
519	DB00437
73494	DB00966
282428	DB01583
968170	DB06811
39786	DB00285
6915	DB01233
2015	DB00578
9863	DB09153
114934	DB11095
1362737	DB09502
24591	DB00823
1546408	DB06826
31448	DB00461
3634	DB09167
732	DB00681
69722	DB00558
28894	DB00186
8339	DB00319
72625	DB00476
35636	DB00734
6963	DB00211
1547611	DB04911
11202	DB00541
38298	DB01007
2556	DB00215
141704	DB01590
9386	DB00478
194881	DB01194
1366567	DB08902
6472	DB00227
6711	DB01065
119771	DB06211
2683	DB01394
7531	DB00540
4460	DB01544
1512	DB06756
7398	DB00699
6876	DB00968
1368001	DB06203
6922	DB00916
296	DB00640
1307619	DB06616
304962	DB01274
7623	DB01165
1000104	DB00083
69036	DB06201
4018	DB00153
7994	DB00738
3131	DB00746
733	DB00415
3268	DB01191
10691	DB00302
10635	DB01124
723	DB01060
475342	DB01254
21949	DB00924
6854	DB00553
224905	DB00072
21241	DB00349
1595589	DB09561
76895	DB00015
6774	DB09338
2382	DB01131
10030	DB11092
4816	DB01120
306674	DB00862
7268	DB00826
3455	DB01093
5521	DB01611
10819	DB09089
34530	DB01366
1547099	DB09034
2233	DB09008
8001	DB00652
2239	DB01333
1525	DB01393
5552	DB01005
42612	DB01003
4603	DB00695
12449	DB08964
1535218	DB09036
7226	DB01203
4385	DB09222
35623	DB00740
26296	DB00226
7966	DB01230
5033	DB00629
3364	DB00900
36437	DB01104
4885	DB00130
4502	DB00712
720825	DB06207
18603	DB00972
616877	DB01277
10772	DB01021
2189	DB01331
1546168	DB09122
59161	DB05041
328134	DB00317
236594	DB00681
38400	DB00289
6038	DB00951
18600	DB00719
19768	DB09018
6809	DB00331
411	DB09337
819911	DB06771
2601	DB09218
5293	DB00756
231049	DB00216
8565	DB01324
1370460	DB00126
2406	DB01239
21107	DB01166
10753	DB00755
6719	DB01043
4124	DB00977
623033	DB01046
76887	DB09097
2194	DB01112
3435	DB09115
6758	DB00849
7426	DB00393
42635	DB09255
1436	DB01244
3102	DB01406
1223	DB00572
196102	DB00074
6371	DB00848
32624	DB00776
47579	DB00248
237027	DB00873
2623	DB00257
34347	DB09345
10763	DB00384
31748	DB09220
1251	DB00928
1310594	DB09287
18469	DB01208
11055	DB00013
227239	DB00179
274786	DB00976
1592737	DB09079
1901	DB01164
18889	DB00892
8340	DB00592
5942	DB04815
8308	DB01022
356988	DB00095
16521	DB00718
237159	DB13139
8011	DB00552
32675	DB01062
358258	DB00188
860189	DB00083
69528	DB09260
24698	DB01073
19685	DB01158
20890	DB06725
4301	DB11133
22033	DB00606
10355	DB00231
3327	DB01119
11124	DB00512
1151	DB00126
8597	DB06715
7973	DB01359
974779	DB08935
3272	DB11122
5691	DB00458
10579	DB00024
8761	DB00782
8588	DB01345
37776	DB00853
26412	DB00801
232539	DB06415
6572	DB06795
6873	DB11228
327361	DB00051
10032	DB06718
2397	DB00269
1622	DB00290
6466	DB01206
35208	DB00881
51296	DB09081
1886	DB00201
828682	DB06716
45045	DB09495
594119	DB04895
190521	DB01048
3264	DB01234
314504	DB13151
1054	DB01429
99	DB00513
5031	DB11359
4832	DB00040
1599788	DB09029
3355	DB00586
1441386	DB06401
60223	DB00210
24812	DB00949
70223	DB00041
4127	DB00609
6964	DB00834
72435	DB00026
94	DB02959
39541	DB00361
37806	DB00251
85248	DB00969
2186	DB00493
36117	DB00938
195085	DB00625
38409	DB00539
6026	DB00753
6313	DB00650
27712	DB09344
2182	DB00274
1433693	DB08917
6878	DB09241
5542	DB06789
229367	DB01369
259282	DB09315
2353	DB00628
3226	DB04209
4162	DB01493
3007	DB00260
28863	DB04948
11645	DB08826
5301	DB08958
91603	DB11604
1537034	DB09030
4511	DB00158
3407	DB00390
30121	DB01171
17128	DB00448
301542	DB01098
283838	DB00012
1440051	DB09265
6084	DB01321
1817	DB08808
996051	DB06772
6069	DB00602
3640	DB00254
274783	DB00047
495881	DB00398
3523	DB04817
59636	DB00354
141626	DB00930
3639	DB00997
161203	DB01615
10594	DB00208
3390	DB00255
46041	DB00630
28144	DB01084
214555	DB00005
