CTD MESH/OMIM 	 type 	 CTD cuis divided by | 	 Disease ontology divided by | 	 cui names 
D017096	MESH		DOID:649	
D013088	MESH		DOID:11997	
D017091	MESH		DOID:0060181	
D017098	MESH		DOID:0060025|DOID:11701	
D013086	MESH		DOID:11996	
D002429	MESH		DOID:1518	
D002422	MESH		DOID:3222	
D056929	MESH		DOID:0050477	
D002644	MESH		DOID:8659	
D001996	MESH		DOID:12375	
D004213	MESH		DOID:10935	
D008269	MESH		DOID:4449|DOID:4447	
D004211	MESH		DOID:11247	
D001991			DOID:6132	
D018235	MESH		DOID:4310	
D013226	MESH		DOID:1824	
D013224	MESH		DOID:9362	
D006526	MESH		DOID:1883	
D006527	MESH		DOID:893	
D018239	MESH		DOID:5842|DOID:4440	
D014201	MESH		DOID:888|DOID:884	
D006521	MESH		DOID:2237	
D009196	MESH		DOID:4960	
D009190	MESH		DOID:0050908	
D014689	MESH		DOID:10128	
D001424	MESH		DOID:104	
D014511	MESH		DOID:4676	
D018302	MESH		DOID:7305|DOID:6128	
D018305	MESH		DOID:4163	
D003048	MESH		DOID:2113	
D018307	MESH		DOID:3168|DOID:1749	
D009442	MESH		DOID:5940|DOID:3192	
D009443	MESH		DOID:1803|DOID:683	
D009447	MESH		DOID:769	
D000292	MESH		DOID:1003	
D018270	MESH		DOID:3008	
D052496	MESH		DOID:0050440	
C536010	MESH		DOID:0050796	
D009503	MESH		DOID:1227	
D010212	MESH		DOID:2615|DOID:139	
D010211	MESH		DOID:146|DOID:10175|DOID:6929	
D010217	MESH		DOID:11360	
D010214	MESH		DOID:3389	
D014029			DOID:0050742	
D001196	MESH		DOID:456	
D001195			DOID:10320	
C536494	MESH		DOID:6039	
D014396	MESH		DOID:106	
C535575	MESH		DOID:5520	
D013169	MESH		DOID:2300	
D007918	MESH		DOID:1024	
D020828	MESH		DOID:12680	
D010033	MESH		DOID:10754	
D010032	MESH		DOID:9463	
D020821	MESH		DOID:543|DOID:0050835|DOID:0050841	
D010859	MESH		DOID:3156	
D014397			DOID:2957	
D010854	MESH		DOID:12711|DOID:0050133|DOID:13902	
D020226	MESH		DOID:3575	
D001607			DOID:10322	
D009617	MESH		DOID:2312	
D029424			DOID:3083	
D020915	MESH		DOID:10915	
D052016	MESH		DOID:0080178	
D020918	MESH		DOID:3223	
D010608	MESH		DOID:2275	
D016111	MESH		DOID:14501	
D004652	MESH		DOID:3642	
D019150	MESH		DOID:2367	
D000647	MESH		DOID:10914|DOID:11037	
D000648	MESH		DOID:4543	
D007592	MESH		DOID:381	
D020774	MESH		DOID:11870	
D002114	MESH		DOID:182	
D058437	MESH		DOID:11561	
D045169	MESH		DOID:2945	
D012216	MESH		DOID:204	
D012213	MESH		DOID:1586	
D020388	MESH		DOID:11723	
D046152	MESH		DOID:9253	
D015267	MESH		DOID:3049	
D020139	MESH		DOID:11044	
D020138	MESH		DOID:9279	
D004437	MESH		DOID:14289	
D009877	MESH		DOID:4692	
D008305	MESH		DOID:8545	
D041781	MESH		DOID:13603	
D003744	MESH		DOID:693	
D017241	MESH		DOID:3687	
D017240	MESH		DOID:699	
D011818	MESH		DOID:11260	
D058540	MESH		DOID:8461	
D015868	MESH		DOID:12731	
D015862	MESH		DOID:1417	
D015866	MESH		DOID:12574	
D015864	MESH		DOID:12030	
D005831	MESH		DOID:229	
D013920	MESH		DOID:2224	
D000505	MESH		DOID:987	
D006429	MESH		DOID:10969	
D013945	MESH		DOID:3275|DOID:3284	
D012148	MESH		DOID:0050425	
D020345	MESH		DOID:8677	
D020343	MESH		DOID:9427	
D013167	MESH		DOID:7147	
D013160	MESH		DOID:672	
D013899	MESH		DOID:5093	
D016471	MESH		DOID:5425	
D014524	MESH		DOID:12577	
D056806	MESH		DOID:9267	
D014526	MESH		DOID:1343	
D009290			DOID:8986	
D014523	MESH		DOID:734|DOID:730	
D009293	MESH		DOID:2559	
D009059	MESH		DOID:403	
D006732	MESH		DOID:11486	
D004820	MESH		DOID:2730	
D004823	MESH		DOID:9402	
D002349	MESH		DOID:12169	
D004827	MESH		DOID:1826	
D004829	MESH		DOID:1827	
D004828	MESH		DOID:2234	
D002340			DOID:3407	
D002341	MESH		DOID:3410	
D002430	MESH		DOID:1517|DOID:1521	
D008271	MESH		DOID:13078	
D005600	MESH		DOID:14261	
D005354	MESH		DOID:3355	
D005356	MESH		DOID:631	
D005357	MESH		DOID:1858	
D018223	MESH		DOID:3507	
D018226	MESH		DOID:1618	
D013547	MESH		DOID:11599	
D014388	MESH		DOID:4889	
D005198	MESH		DOID:1062	
D005199	MESH		DOID:13636	
D014235	MESH		DOID:9784	
D006556	MESH		DOID:9976	
D006554	MESH		DOID:0060321|DOID:0060327	
D013786	MESH		DOID:4662	
D013789	MESH		DOID:10241	
C536914	MESH		DOID:3973	
C536915	MESH		DOID:3969	
D005512	MESH		DOID:3044	
D001859			DOID:184	
C537422	MESH		DOID:0090121	
D001855	MESH		DOID:4961	
D009050			DOID:13711	
D011125	MESH		DOID:0050424	
D019970	MESH		DOID:9975|DOID:809	
D019973	MESH		DOID:1574	
D014657	MESH		DOID:865	
D009471	MESH		DOID:8869	
D014652			DOID:178	
D009472	MESH		DOID:14503	
D005776	MESH		DOID:1926	
D005770	MESH		DOID:3119	
D006954	MESH		DOID:1171	
D006953	MESH		DOID:1172	
D006952	MESH		DOID:3145	
D018318	MESH		DOID:5151	
D006950	MESH		DOID:13809	
D013436	MESH		DOID:12451	
D018317	MESH		DOID:1192|DOID:4697|DOID:3193	
D006959	MESH		DOID:2977	
D006958	MESH		DOID:4257	
D015179			DOID:5672|DOID:9256	
D001072	MESH		DOID:4090	
D033461	MESH		DOID:1920	
D014010	MESH		DOID:9060	
D010202	MESH		DOID:13732	
D019575	MESH		DOID:11831	
D008010	MESH		DOID:9201	
D019578	MESH		DOID:4752	
D004483	MESH		DOID:1570	
D020955	MESH		DOID:4751	
D007827	MESH		DOID:3437	
D010842	MESH		DOID:12128	
D003123	MESH		DOID:3883	
D010020	MESH		DOID:10159	
D020953	MESH		DOID:13565	
D010022	MESH		DOID:13533	
D010024			DOID:11476	
D010026	MESH		DOID:4254	
D053840	MESH		DOID:0050451	
D007822	MESH		DOID:2598|DOID:2596	
D056487	MESH		DOID:2044	
D013280	MESH		DOID:9637	
D018149	MESH		DOID:10603	
D008708	MESH		DOID:10783	
D007859			DOID:8927	
D017544	MESH		DOID:7693	
D015658	MESH		DOID:526	
D016472			DOID:231|DOID:230|DOID:4873	
D007638	MESH		DOID:12895	
D011317	MESH		DOID:9286	
D015493	MESH		DOID:321	
D019142	MESH		DOID:4325	
D008268	MESH		DOID:10871|DOID:4448	
D008641	MESH		DOID:13252	
D011559	MESH		DOID:11459	
D011001	MESH		DOID:14319	
D011776	MESH		DOID:1439	
D012208	MESH		DOID:3247	
D012202	MESH		DOID:14525	
D008582	MESH		DOID:12157	
D004774	MESH		DOID:12397	
D007706	MESH		DOID:1838	
D001988			DOID:2942	
D015270	MESH		DOID:2755	
D018567	MESH		DOID:1614	
D009203			DOID:5844	
D006558	MESH		DOID:8704	
D018227	MESH		DOID:4233	
D009205	MESH		DOID:820	
D006551	MESH		DOID:12642	
D018382	MESH		DOID:11633	
D020018	MESH		DOID:13868	
D003354	MESH		DOID:11405	
D016780	MESH		DOID:12978	
D006432	MESH		DOID:2352	
D003914	MESH		DOID:9565	
D003919	MESH		DOID:9409	
D028361	MESH		DOID:700	
D013159	MESH		DOID:2533	
D013158	MESH		DOID:2529	
D020331	MESH		DOID:13501	
D020330	MESH		DOID:12506	
D020339	MESH		DOID:6576|DOID:4992	
D020338	MESH		DOID:12683	
D004942	MESH		DOID:13976	
D004941	MESH		DOID:11963	
D016878	MESH		DOID:14039	
D002538	MESH		DOID:0060688	
D004948	MESH		DOID:9840|DOID:10293	
D002532	MESH		DOID:10941	
D019214	MESH		DOID:3086	
D018281			DOID:4928|DOID:4947	
D006333			DOID:6000	
D014820	MESH		DOID:12306	
D012797	MESH		DOID:12901	
D012790	MESH		DOID:3825	
D009041	MESH		DOID:2951	
D012793	MESH		DOID:10303	
D012554	MESH		DOID:0050597	
D020244	MESH		DOID:3525	
D020243	MESH		DOID:3528	
D012553	MESH		DOID:1394	
D020240	MESH		DOID:4627	
D003130	MESH		DOID:6950	
D003137	MESH		DOID:4137	
D003139	MESH		DOID:10459	
D004832	MESH		DOID:1825	
D004833	MESH		DOID:3328	
D004830	MESH		DOID:7725	
D004831	MESH		DOID:308	
D005368	MESH		DOID:1080	
D006548	MESH		DOID:3827	
D011625	MESH		DOID:0002116	
D016862	MESH		DOID:1638	
D006547	MESH		DOID:1283	
D054082	MESH		DOID:0050453	
D007890	MESH		DOID:5268|DOID:5264|DOID:1967	
D020790	MESH		DOID:12388	
D004443	MESH		DOID:1496	
D001847	MESH		DOID:0080001	
C537884	MESH		DOID:0060673	
D019966			DOID:303|DOID:302	
D019964	MESH		DOID:3324	
D019965			DOID:1561	
D004169	MESH		DOID:10075	
D014646	MESH		DOID:12337	
D001281			DOID:0060224	
D005329	MESH		DOID:1235	
D009468	MESH		DOID:440	
D001289			DOID:1094	
D014648	MESH		DOID:799	
D005706	MESH		DOID:3121	
D005705	MESH		DOID:0060262	
